exercise_id,canonical_key,name_de,name_en,aliases_de,aliases_en,search_terms,family_id,family_de,category_id,category_de,pattern_id,pattern_de,force_id,force_de,mechanic_id,mechanic_de,is_compound,compound_class_de,primary_muscle_id,primary_muscle_de,primary_muscle_size_1_5,primary_muscle_size_class,secondary_muscle_ids,secondary_muscles_de,secondary_muscle_count,body_region,required_equipment_ids,required_equipment_de,equipment_count,primary_equipment_id,primary_equipment_de,dynamic_joints_count,involved_muscle_mass_1_5,whole_body_demand_1_5,loadability_1_5,scalability_1_5,stability_demand_1_5,skill_demand_1_5,fatigue_cost_1_5,commonness_1_5,difficulty_1_5,difficulty_de,compound_score,priority_score,program_priority,unilateral,bodyweight,closed_chain,requires_coaching,variant_level_1_3,variant_level_de,training_goals,plan_eligible,recommended_default_display,notes,source_method,license_note,review_status,slug_de
EX000011,gehen-im-freien__outdoor,Gehen im Freien,Outdoor Walking,,,Gehen im Freien | Outdoor Walking | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Outdoor-Strecke,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,4,Ganzkörper,OUTDOOR,Outdoor-Strecke,1,OUTDOOR,Outdoor-Strecke,4,3,5,1,5,2,1,4,5,1,Einsteiger,77,72,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,gehen-im-freien
EX000012,joggen-im-freien__outdoor,Joggen im Freien,Outdoor Jogging,,,Joggen im Freien | Outdoor Jogging | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Outdoor-Strecke,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur,5,Ganzkörper,OUTDOOR,Outdoor-Strecke,1,OUTDOOR,Outdoor-Strecke,4,4,5,1,5,4,2,4,5,2,Leicht,83,75,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,joggen-im-freien
EX000013,laufband-gehen__treadmill,Laufband-Gehen,Treadmill Walking,,,Laufband-Gehen | Treadmill Walking | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,3,4,1,5,2,1,4,5,1,Einsteiger,75,71,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-gehen
EX000014,laufband-gehen-mit-steigung__treadmill,Laufband-Gehen mit Steigung,Incline Treadmill Walking,,,Laufband-Gehen mit Steigung | Incline Treadmill Walking | Ausdauer und Cardio | Gesässmuskulatur | Quadrizeps | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,GLUTES,Gesässmuskulatur,5,sehr gross,QUADS | HAMSTRINGS | CALVES,Quadrizeps | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,4,4,1,5,3,2,4,5,2,Leicht,81,74,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-gehen-mit-steigung
EX000015,laufband-joggen__treadmill,Laufband-Joggen,Treadmill Jogging,,,Laufband-Joggen | Treadmill Jogging | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,4,Ganzkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,4,5,1,5,3,2,4,5,2,Leicht,83,75,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-joggen
EX000016,laufband-laufen__treadmill,Laufband-Laufen,Treadmill Running,,,Laufband-Laufen | Treadmill Running | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,4,Ganzkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,4,5,1,5,4,3,4,5,3,Mittel,83,75,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-laufen
EX000017,laufband-schlittenmodus__treadmill,Laufband-Schlittenmodus,Curved Treadmill Sled Mode,,,Laufband-Schlittenmodus | Curved Treadmill Sled Mode | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Vordere Schulter | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | CALVES | ABS | FRONT_DELTS,Quadrizeps | Gesässmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Vordere Schulter,5,Ganzkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,5,5,1,4,4,4,4,2,4,Fortgeschritten,89,61,Ausdauerübung,False,False,True,False,3,Spezialvariante,Ausdauer | Herz-Kreislauf | Gesundheit,False,False,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-schlittenmodus
EX000018,laufband-sprint__treadmill,Laufband-Sprint,Treadmill Sprint,,,Laufband-Sprint | Treadmill Sprint | Ausdauer und Cardio | Ganzkörper | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Quadrizeps | Wadenmuskulatur | Laufband,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,GLUTES | HAMSTRINGS | QUADS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Quadrizeps | Wadenmuskulatur,4,Ganzkörper,TREADMILL,Laufband,1,TREADMILL,Laufband,4,5,5,1,3,5,5,4,4,5,Experte,89,62,Ausdauerübung,False,False,True,True,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufband-sprint
EX000019,laufen-im-freien__outdoor,Laufen im Freien,Outdoor Running,,,Laufen im Freien | Outdoor Running | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Outdoor-Strecke,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur,5,Ganzkörper,OUTDOOR,Outdoor-Strecke,1,OUTDOOR,Outdoor-Strecke,4,4,5,1,5,4,3,4,5,3,Mittel,83,75,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,laufen-im-freien
EX000020,nordic-walking-ohne-spezifische-stocke__outdoor,Nordic-Walking ohne spezifische Stöcke,Power Walking,,,Nordic-Walking ohne spezifische Stöcke | Power Walking | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Outdoor-Strecke,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur,5,Ganzkörper,OUTDOOR,Outdoor-Strecke,1,OUTDOOR,Outdoor-Strecke,4,3,5,1,5,3,2,4,4,2,Leicht,77,69,Ausdauerübung,False,False,True,False,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,nordic-walking-ohne-spezifische-stocke
EX000021,ruderergometer-locker__rower,Ruderergometer locker,Easy Rowing Ergometer,,,Ruderergometer locker | Easy Rowing Ergometer | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Latissimus | Bizeps | Gerade Bauchmuskulatur | Ruderergometer,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | LATS | BICEPS | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Latissimus | Bizeps | Gerade Bauchmuskulatur,6,Ganzkörper,ROWER,Ruderergometer,1,ROWER,Ruderergometer,4,5,5,1,5,4,3,4,5,3,Mittel,89,78,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ruderergometer-locker
EX000022,ruderergometer-moderat__rower,Ruderergometer moderat,Moderate Rowing Ergometer,,,Ruderergometer moderat | Moderate Rowing Ergometer | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Latissimus | Bizeps | Gerade Bauchmuskulatur | Ruderergometer,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | LATS | BICEPS | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Latissimus | Bizeps | Gerade Bauchmuskulatur,6,Ganzkörper,ROWER,Ruderergometer,1,ROWER,Ruderergometer,4,5,5,1,5,4,3,4,5,3,Mittel,89,78,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ruderergometer-moderat
