equipment_id,name_de,name_en,category,selection_group,default_available,full_gym,implies_equipment_ids
ANKLE_WEIGHTS,Fuss-/Knöchelgewichte,Ankle Weights,Freie Gewichte,Kleinzubehör,False,True,
PULLUP_BAR,Klimmzugstange,Pull-Up Bar,Körpergewicht,Klimmzugstange,False,True,
DIP_BARS,Dip-Barren/Parallelbarren,Dip Bars,Körpergewicht,Dip-Barren,False,True,
PARALLETTES,Parallettes/Liegestützgriffe,Parallettes,Körpergewicht,Kleinzubehör,False,True,
RINGS,Turnringe,Gymnastic Rings,Körpergewicht,Turnringe,False,True,
TRX,Schlingentrainer/TRX,Suspension Trainer,Körpergewicht,TRX/Schlingentrainer,False,True,
BAND,Langes Widerstandsband,Resistance Band,Bänder,Widerstandsbänder,False,True,
MINIBAND,Miniband/Loop-Band,Mini Band,Bänder,Widerstandsbänder,False,True,
TUBE_BAND,Tube-Band mit Griffen,Tube Band,Bänder,Widerstandsbänder,False,True,
CABLE,Einfacher Kabelzug,Cable Station,Kabelzug,Kabelzug,False,True,
DUAL_CABLE,Doppel-Kabelzug/Crossover,Dual Cable Crossover,Kabelzug,Kabelzug,False,True,CABLE
LAT_PULLDOWN,Latzugstation,Lat Pulldown Station,Kabelzug,Kabelzug,False,True,
LOW_ROW,Sitzende Ruderzugstation,Low Row Station,Kabelzug,Kabelzug,False,True,
LANDMINE,Landmine-Aufnahme,Landmine Attachment,Freie Gewichte,Landmine,False,True,
SMITH,Multipresse/Smith Machine,Smith Machine,Maschine,Kraftmaschinen,False,True,
LEG_PRESS,Beinpresse,Leg Press Machine,Maschine,Kraftmaschinen,False,True,
HACK_SQUAT,Hackenschmidt-Maschine,Hack Squat Machine,Maschine,Kraftmaschinen,False,True,
BELT_SQUAT,Belt-Squat-Maschine,Belt Squat Machine,Maschine,Kraftmaschinen,False,True,
LEG_EXTENSION,Beinstrecker-Maschine,Leg Extension Machine,Maschine,Kraftmaschinen,False,True,
LEG_CURL,Beinbeuger-Maschine,Leg Curl Machine,Maschine,Kraftmaschinen,False,True,
HIP_THRUST_MACHINE,Hip-Thrust-/Glute-Drive-Maschine,Hip Thrust Machine,Maschine,Kraftmaschinen,False,True,
CALF_MACHINE,Wadenheben-Maschine,Calf Raise Machine,Maschine,Kraftmaschinen,False,True,
HIP_ABD_MACHINE,Abduktoren-Maschine,Hip Abduction Machine,Maschine,Kraftmaschinen,False,True,
HIP_ADD_MACHINE,Adduktoren-Maschine,Hip Adduction Machine,Maschine,Kraftmaschinen,False,True,
CHEST_PRESS_MACHINE,Brustpresse,Chest Press Machine,Maschine,Kraftmaschinen,False,True,
SHOULDER_PRESS_MACHINE,Schulterpresse,Shoulder Press Machine,Maschine,Kraftmaschinen,False,True,
PEC_DECK,Butterfly-/Pec-Deck-Maschine,Pec Deck,Maschine,Kraftmaschinen,False,True,
REVERSE_FLY_MACHINE,Reverse-Fly-Maschine,Reverse Fly Machine,Maschine,Kraftmaschinen,False,True,
ROW_MACHINE,Rudermaschine (Kraft),Strength Row Machine,Maschine,Kraftmaschinen,False,True,
PULLDOWN_MACHINE,Latzugmaschine (Plate-loaded),Pulldown Machine,Maschine,Kraftmaschinen,False,True,
ASSISTED_PULLUP,Unterstützte Klimmzug-/Dip-Maschine,Assisted Pull-Up/Dip Machine,Maschine,Kraftmaschinen,False,True,
BICEPS_MACHINE,Bizepscurl-Maschine,Biceps Curl Machine,Maschine,Kraftmaschinen,False,True,
TRICEPS_MACHINE,Trizepsstrecker-Maschine,Triceps Extension Machine,Maschine,Kraftmaschinen,False,True,
AB_MACHINE,Bauchpresse/Crunch-Maschine,Ab Crunch Machine,Maschine,Kraftmaschinen,False,True,
BACK_EXTENSION_MACHINE,Rückenstrecker-Maschine,Back Extension Machine,Maschine,Kraftmaschinen,False,True,
PREACHER_BENCH,Scottbank,Preacher Bench,Bank/Podest,Trainingsbank,False,True,
GHD,Glute-Ham-Developer,Glute Ham Developer,Maschine,Kraftmaschinen,False,True,
BACK_EXTENSION_BENCH,45°-/90°-Rückenstreckerbank,Back Extension Bench,Maschine,Kraftmaschinen,False,True,
REVERSE_HYPER,Reverse-Hyper-Maschine,Reverse Hyper Machine,Maschine,Kraftmaschinen,False,True,
AB_WHEEL,Bauchroller/Ab-Wheel,Ab Wheel,Kleinzubehör,Kleinzubehör,False,True,
SWISS_BALL,Gymnastikball/Swiss Ball,Swiss Ball,Kleinzubehör,Kleinzubehör,False,True,
BOSU,BOSU-Ball,BOSU Ball,Kleinzubehör,Kleinzubehör,False,True,
FOAM_ROLLER,Faszienrolle,Foam Roller,Kleinzubehör,Kleinzubehör,False,True,
MED_BALL,Medizinball,Medicine Ball,Functional,Functional Training,False,True,
SLAM_BALL,Slam Ball,Slam Ball,Functional,Functional Training,False,True,
SANDBAG,Sandsack (Training),Sandbag,Functional,Functional Training,False,True,
SLED,Gewichtsschlitten,Weight Sled,Functional,Strongman/Functional,False,True,
FARMER_HANDLES,Farmer-Walk-Griffe,Farmer Walk Handles,Functional,Strongman/Functional,False,True,
YOKE,Yoke/Joch,Yoke,Functional,Strongman/Functional,False,True,
TIRE,Trainingsreifen,Training Tire,Functional,Strongman/Functional,False,True,
SLEDGEHAMMER,Vorschlaghammer,Sledgehammer,Functional,Strongman/Functional,False,True,
BATTLE_ROPE,Battle Ropes,Battle Ropes,Functional,Strongman/Functional,False,True,
ROPE,Kletterseil,Climbing Rope,Functional,Strongman/Functional,False,True,
MACE,Steel Mace/Keule,Steel Mace,Functional,Functional Training,False,True,
GRIPPER,Handgripper,Hand Gripper,Kleinzubehör,Kleinzubehör,False,True,
WRIST_ROLLER,Wrist Roller,Wrist Roller,Kleinzubehör,Kleinzubehör,False,True,
NECK_HARNESS,Nackentrainer/Nacken-Geschirr,Neck Harness,Kleinzubehör,Kleinzubehör,False,True,
JUMP_ROPE,Springseil,Jump Rope,Cardio,Cardiogeräte,False,True,
TREADMILL,Laufband,Treadmill,Cardio,Cardiogeräte,False,True,
BIKE,Fahrradergometer/Spinning-Bike,Stationary Bike,Cardio,Cardiogeräte,False,True,
AIR_BIKE,Air Bike,Air Bike,Cardio,Cardiogeräte,False,True,
ROWER,Ruderergometer,Rowing Ergometer,Cardio,Cardiogeräte,False,True,
SKI_ERG,SkiErg,SkiErg,Cardio,Cardiogeräte,False,True,
ELLIPTICAL,Crosstrainer,Elliptical Trainer,Cardio,Cardiogeräte,False,True,
STAIR_CLIMBER,Stair Climber/Stepper,Stair Climber,Cardio,Cardiogeräte,False,True,
POOL,Schwimmbecken,Swimming Pool,Cardio,Schwimmen,False,False,
OUTDOOR,Outdoor-Strecke,Outdoor Space,Cardio,Outdoor,False,False,
SISSY_SQUAT,Sissy-Squat-Station,Sissy Squat Station,Maschine / Station,Voll ausgestattetes Fitnessstudio,False,True,
TOWEL,Handtuch,Towel,Kleingerät,Kleingeräte,False,True,
PINCH_BLOCK,Pinch-Block,Pinch Block,Kleingerät,Kleingeräte,False,True,
FAT_GRIP,Griffverdickung,Fat Grip Adapter,Kleingerät,Kleingeräte,False,True,
