exercise_id,exercise_name_de,muscle_id,muscle_name_de,role,contribution_weight_1_5,role_order,muscle_size_1_5,region
EX000010,Ergometer-Sprint,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000011,Gehen im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000011,Gehen im Freien,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000011,Gehen im Freien,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000011,Gehen im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000011,Gehen im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000012,Joggen im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000012,Joggen im Freien,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000012,Joggen im Freien,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000012,Joggen im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000012,Joggen im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000012,Joggen im Freien,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000013,Laufband-Gehen,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000013,Laufband-Gehen,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000013,Laufband-Gehen,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000013,Laufband-Gehen,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000014,Laufband-Gehen mit Steigung,GLUTES,Gesässmuskulatur,primary,5,1,5,Unterkörper
EX000014,Laufband-Gehen mit Steigung,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000014,Laufband-Gehen mit Steigung,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000014,Laufband-Gehen mit Steigung,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000015,Laufband-Joggen,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000015,Laufband-Joggen,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000015,Laufband-Joggen,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000015,Laufband-Joggen,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000015,Laufband-Joggen,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000016,Laufband-Laufen,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000016,Laufband-Laufen,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000016,Laufband-Laufen,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000016,Laufband-Laufen,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000016,Laufband-Laufen,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000017,Laufband-Schlittenmodus,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000017,Laufband-Schlittenmodus,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000017,Laufband-Schlittenmodus,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000017,Laufband-Schlittenmodus,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000017,Laufband-Schlittenmodus,ABS,Gerade Bauchmuskulatur,secondary,2,4,3,Rumpf
EX000017,Laufband-Schlittenmodus,FRONT_DELTS,Vordere Schulter,secondary,2,5,2,Oberkörper
EX000018,Laufband-Sprint,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000018,Laufband-Sprint,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000018,Laufband-Sprint,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000018,Laufband-Sprint,QUADS,Quadrizeps,secondary,3,3,5,Unterkörper
EX000018,Laufband-Sprint,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000019,Laufen im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000019,Laufen im Freien,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000019,Laufen im Freien,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000019,Laufen im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000019,Laufen im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000019,Laufen im Freien,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000020,Nordic-Walking ohne spezifische Stöcke,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000020,Nordic-Walking ohne spezifische Stöcke,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000020,Nordic-Walking ohne spezifische Stöcke,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000020,Nordic-Walking ohne spezifische Stöcke,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000020,Nordic-Walking ohne spezifische Stöcke,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000020,Nordic-Walking ohne spezifische Stöcke,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000021,Ruderergometer locker,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000021,Ruderergometer locker,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000021,Ruderergometer locker,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000021,Ruderergometer locker,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000021,Ruderergometer locker,LATS,Latissimus,secondary,2,4,4,Oberkörper
EX000021,Ruderergometer locker,BICEPS,Bizeps,secondary,2,5,2,Oberkörper
EX000021,Ruderergometer locker,ABS,Gerade Bauchmuskulatur,secondary,2,6,3,Rumpf
EX000022,Ruderergometer moderat,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000022,Ruderergometer moderat,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000022,Ruderergometer moderat,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000022,Ruderergometer moderat,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000022,Ruderergometer moderat,LATS,Latissimus,secondary,2,4,4,Oberkörper
EX000022,Ruderergometer moderat,BICEPS,Bizeps,secondary,2,5,2,Oberkörper
EX000022,Ruderergometer moderat,ABS,Gerade Bauchmuskulatur,secondary,2,6,3,Rumpf
EX000023,Ruderergometer Sprint,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000023,Ruderergometer Sprint,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000023,Ruderergometer Sprint,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000023,Ruderergometer Sprint,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000023,Ruderergometer Sprint,LATS,Latissimus,secondary,2,4,4,Oberkörper
EX000023,Ruderergometer Sprint,BICEPS,Bizeps,secondary,2,5,2,Oberkörper
EX000023,Ruderergometer Sprint,ABS,Gerade Bauchmuskulatur,secondary,2,6,3,Rumpf
EX000024,Schwimmen Brust,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000024,Schwimmen Brust,CHEST,Brustmuskulatur,secondary,3,1,4,Oberkörper
EX000024,Schwimmen Brust,LATS,Latissimus,secondary,3,2,4,Oberkörper
EX000024,Schwimmen Brust,ADDUCTORS,Adduktoren,secondary,3,3,4,Unterkörper
EX000024,Schwimmen Brust,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000024,Schwimmen Brust,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000025,Schwimmen Freistil,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000025,Schwimmen Freistil,LATS,Latissimus,secondary,3,1,4,Oberkörper
EX000025,Schwimmen Freistil,FRONT_DELTS,Vordere Schulter,secondary,3,2,2,Oberkörper
EX000025,Schwimmen Freistil,TRICEPS,Trizeps,secondary,3,3,3,Oberkörper
EX000025,Schwimmen Freistil,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000025,Schwimmen Freistil,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000026,Schwimmen Rücken,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000026,Schwimmen Rücken,LATS,Latissimus,secondary,3,1,4,Oberkörper
EX000026,Schwimmen Rücken,REAR_DELTS,Hintere Schulter,secondary,3,2,2,Oberkörper
EX000026,Schwimmen Rücken,TRICEPS,Trizeps,secondary,3,3,3,Oberkörper
EX000026,Schwimmen Rücken,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000026,Schwimmen Rücken,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000027,Schwimmen Schmetterling,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000027,Schwimmen Schmetterling,LATS,Latissimus,secondary,3,1,4,Oberkörper
EX000027,Schwimmen Schmetterling,CHEST,Brustmuskulatur,secondary,3,2,4,Oberkörper
EX000027,Schwimmen Schmetterling,FRONT_DELTS,Vordere Schulter,secondary,3,3,2,Oberkörper
EX000027,Schwimmen Schmetterling,TRICEPS,Trizeps,secondary,2,4,3,Oberkörper
EX000027,Schwimmen Schmetterling,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000027,Schwimmen Schmetterling,GLUTES,Gesässmuskulatur,secondary,2,6,5,Unterkörper
EX000028,SkiErg alternierend,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000028,SkiErg alternierend,LATS,Latissimus,secondary,3,1,4,Oberkörper
EX000028,SkiErg alternierend,TRICEPS,Trizeps,secondary,3,2,3,Oberkörper
EX000028,SkiErg alternierend,OBLIQUES,Seitliche Bauchmuskulatur,secondary,3,3,3,Rumpf
EX000028,SkiErg alternierend,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000028,SkiErg alternierend,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,2,5,4,Unterkörper
EX000029,SkiErg beidarmig,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000029,SkiErg beidarmig,LATS,Latissimus,secondary,3,1,4,Oberkörper
EX000029,SkiErg beidarmig,TRICEPS,Trizeps,secondary,3,2,3,Oberkörper
EX000029,SkiErg beidarmig,ABS,Gerade Bauchmuskulatur,secondary,3,3,3,Rumpf
EX000029,SkiErg beidarmig,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000029,SkiErg beidarmig,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,2,5,4,Unterkörper
EX000030,SkiErg im Kniestand,LATS,Latissimus,primary,5,1,4,Oberkörper
EX000030,SkiErg im Kniestand,TRICEPS,Trizeps,secondary,3,1,3,Oberkörper
EX000030,SkiErg im Kniestand,ABS,Gerade Bauchmuskulatur,secondary,3,2,3,Rumpf
EX000030,SkiErg im Kniestand,GLUTES,Gesässmuskulatur,secondary,3,3,5,Unterkörper
EX000031,Sprint im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000031,Sprint im Freien,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000031,Sprint im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000031,Sprint im Freien,QUADS,Quadrizeps,secondary,3,3,5,Unterkörper
EX000031,Sprint im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000031,Sprint im Freien,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000032,Treppensteiger moderat,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000032,Treppensteiger moderat,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000032,Treppensteiger moderat,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000032,Treppensteiger moderat,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000033,Treppensteiger schnell,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000033,Treppensteiger schnell,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000033,Treppensteiger schnell,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000033,Treppensteiger schnell,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000034,Wandern,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000034,Wandern,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000034,Wandern,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000034,Wandern,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000034,Wandern,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000034,Wandern,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000035,Zügiges Gehen im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000035,Zügiges Gehen im Freien,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000035,Zügiges Gehen im Freien,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000035,Zügiges Gehen im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000035,Zügiges Gehen im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000036,Bear-Hug Carry mit Sandsack,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000036,Bear-Hug Carry mit Sandsack,BICEPS,Bizeps,secondary,3,1,2,Oberkörper
EX000036,Bear-Hug Carry mit Sandsack,CHEST,Brustmuskulatur,secondary,3,2,4,Oberkörper
EX000036,Bear-Hug Carry mit Sandsack,ABS,Gerade Bauchmuskulatur,secondary,3,3,3,Rumpf
EX000036,Bear-Hug Carry mit Sandsack,ERECTORS,Rückenstrecker,secondary,2,4,4,Rumpf
EX000036,Bear-Hug Carry mit Sandsack,GLUTES,Gesässmuskulatur,secondary,2,5,5,Unterkörper
EX000036,Bear-Hug Carry mit Sandsack,QUADS,Quadrizeps,secondary,2,6,5,Unterkörper
EX000037,Bottom-up Kettlebell Carry,FOREARMS,Unterarmmuskulatur,primary,5,1,2,Oberkörper
EX000037,Bottom-up Kettlebell Carry,ROTATOR_CUFF,Rotatorenmanschette,secondary,3,1,1,Oberkörper
EX000037,Bottom-up Kettlebell Carry,OBLIQUES,Seitliche Bauchmuskulatur,secondary,3,2,3,Rumpf
EX000037,Bottom-up Kettlebell Carry,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000037,Bottom-up Kettlebell Carry,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000037,Bottom-up Kettlebell Carry,QUADS,Quadrizeps,secondary,2,5,5,Unterkörper
EX000038,Einarmiger Overhead Carry mit Kettlebell,OBLIQUES,Seitliche Bauchmuskulatur,primary,5,1,3,Rumpf
EX000038,Einarmiger Overhead Carry mit Kettlebell,TRAPS,Trapezmuskel,secondary,3,1,3,Oberkörper
EX000038,Einarmiger Overhead Carry mit Kettlebell,ROTATOR_CUFF,Rotatorenmanschette,secondary,3,2,1,Oberkörper
EX000038,Einarmiger Overhead Carry mit Kettlebell,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000038,Einarmiger Overhead Carry mit Kettlebell,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000038,Einarmiger Overhead Carry mit Kettlebell,QUADS,Quadrizeps,secondary,2,5,5,Unterkörper
EX000039,Einarmiger Overhead Carry mit Kurzhantel,OBLIQUES,Seitliche Bauchmuskulatur,primary,5,1,3,Rumpf
EX000039,Einarmiger Overhead Carry mit Kurzhantel,TRAPS,Trapezmuskel,secondary,3,1,3,Oberkörper
EX000039,Einarmiger Overhead Carry mit Kurzhantel,ROTATOR_CUFF,Rotatorenmanschette,secondary,3,2,1,Oberkörper
EX000039,Einarmiger Overhead Carry mit Kurzhantel,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000039,Einarmiger Overhead Carry mit Kurzhantel,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000039,Einarmiger Overhead Carry mit Kurzhantel,QUADS,Quadrizeps,secondary,2,5,5,Unterkörper
EX000040,Farmer's March auf der Stelle,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000040,Farmer's March auf der Stelle,HIP_FLEXORS,Hüftbeuger,secondary,3,1,2,Unterkörper
EX000040,Farmer's March auf der Stelle,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000040,Farmer's March auf der Stelle,OBLIQUES,Seitliche Bauchmuskulatur,secondary,3,3,3,Rumpf
EX000040,Farmer's March auf der Stelle,FOREARMS,Unterarmmuskulatur,secondary,2,4,2,Oberkörper
EX000040,Farmer's March auf der Stelle,TRAPS,Trapezmuskel,secondary,2,5,3,Oberkörper
EX000041,Farmer's Walk auf Zehenspitzen,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000041,Farmer's Walk auf Zehenspitzen,CALVES,Wadenmuskulatur,secondary,3,1,3,Unterkörper
EX000041,Farmer's Walk auf Zehenspitzen,FOREARMS,Unterarmmuskulatur,secondary,3,2,2,Oberkörper
EX000041,Farmer's Walk auf Zehenspitzen,TRAPS,Trapezmuskel,secondary,3,3,3,Oberkörper
EX000041,Farmer's Walk auf Zehenspitzen,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,2,4,2,Rumpf
EX000042,Farmer's Walk mit Farmer Handles,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000042,Farmer's Walk mit Farmer Handles,FOREARMS,Unterarmmuskulatur,secondary,3,1,2,Oberkörper
EX000042,Farmer's Walk mit Farmer Handles,TRAPS,Trapezmuskel,secondary,3,2,3,Oberkörper
EX000042,Farmer's Walk mit Farmer Handles,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000042,Farmer's Walk mit Farmer Handles,OBLIQUES,Seitliche Bauchmuskulatur,secondary,2,4,3,Rumpf
EX000042,Farmer's Walk mit Farmer Handles,GLUTES,Gesässmuskulatur,secondary,2,5,5,Unterkörper
EX000042,Farmer's Walk mit Farmer Handles,QUADS,Quadrizeps,secondary,2,6,5,Unterkörper
EX000042,Farmer's Walk mit Farmer Handles,CALVES,Wadenmuskulatur,secondary,2,7,3,Unterkörper
EX000043,Farmer's Walk mit Griffverdickung,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000043,Farmer's Walk mit Griffverdickung,FOREARMS,Unterarmmuskulatur,secondary,3,1,2,Oberkörper
EX000043,Farmer's Walk mit Griffverdickung,TRAPS,Trapezmuskel,secondary,3,2,3,Oberkörper
EX000043,Farmer's Walk mit Griffverdickung,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000043,Farmer's Walk mit Griffverdickung,GLUTES,Gesässmuskulatur,secondary,2,4,5,Unterkörper
EX000043,Farmer's Walk mit Griffverdickung,QUADS,Quadrizeps,secondary,2,5,5,Unterkörper
EX000044,Farmer's Walk mit Kettlebells,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000044,Farmer's Walk mit Kettlebells,FOREARMS,Unterarmmuskulatur,secondary,3,1,2,Oberkörper
EX000044,Farmer's Walk mit Kettlebells,TRAPS,Trapezmuskel,secondary,3,2,3,Oberkörper
EX000044,Farmer's Walk mit Kettlebells,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000044,Farmer's Walk mit Kettlebells,OBLIQUES,Seitliche Bauchmuskulatur,secondary,2,4,3,Rumpf
EX000044,Farmer's Walk mit Kettlebells,GLUTES,Gesässmuskulatur,secondary,2,5,5,Unterkörper
EX000044,Farmer's Walk mit Kettlebells,QUADS,Quadrizeps,secondary,2,6,5,Unterkörper
EX000044,Farmer's Walk mit Kettlebells,CALVES,Wadenmuskulatur,secondary,2,7,3,Unterkörper
EX000045,Farmer's Walk mit Kurzhanteln,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000045,Farmer's Walk mit Kurzhanteln,FOREARMS,Unterarmmuskulatur,secondary,3,1,2,Oberkörper
EX000045,Farmer's Walk mit Kurzhanteln,TRAPS,Trapezmuskel,secondary,3,2,3,Oberkörper
EX000045,Farmer's Walk mit Kurzhanteln,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000045,Farmer's Walk mit Kurzhanteln,OBLIQUES,Seitliche Bauchmuskulatur,secondary,2,4,3,Rumpf
EX000045,Farmer's Walk mit Kurzhanteln,GLUTES,Gesässmuskulatur,secondary,2,5,5,Unterkörper
EX000045,Farmer's Walk mit Kurzhanteln,QUADS,Quadrizeps,secondary,2,6,5,Unterkörper
EX000045,Farmer's Walk mit Kurzhanteln,CALVES,Wadenmuskulatur,secondary,2,7,3,Unterkörper
EX000046,Farmer's Walk mit Trap Bar,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000046,Farmer's Walk mit Trap Bar,FOREARMS,Unterarmmuskulatur,secondary,3,1,2,Oberkörper
EX000046,Farmer's Walk mit Trap Bar,TRAPS,Trapezmuskel,secondary,3,2,3,Oberkörper
EX000046,Farmer's Walk mit Trap Bar,DEEP_CORE,Tiefe Rumpfmuskulatur,secondary,3,3,2,Rumpf
EX000046,Farmer's Walk mit Trap Bar,ERECTORS,Rückenstrecker,secondary,2,4,4,Rumpf
EX000046,Farmer's Walk mit Trap Bar,GLUTES,Gesässmuskulatur,secondary,2,5,5,Unterkörper
